P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions,,,,,,,,
,,,,,,,,,,,OF,Mike Yastrzemski (13097163),Mike Yastrzemski,13097163,OF,4000,PHI@SF 08/08/2019 09:45PM ET,SF,7.27
,,,,,,,,,,,RP,Mike Morin (13097165),Mike Morin,13097165,P,4000,PHI@SF 08/08/2019 09:45PM ET,PHI,2.02
,,,,,,,,,,,1B/OF,Tyler Austin (13097191),Tyler Austin,13097191,1B/OF,4000,PHI@SF 08/08/2019 09:45PM ET,SF,3.79
,,,,,,,,,,,RP,Dan Slania (13097198),Dan Slania,13097198,P,4000,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,RP,Hector Neris (13097202),Hector Neris,13097202,P,4000,PHI@SF 08/08/2019 09:45PM ET,PHI,3.64
,,,,,,,,,,,RP,Jandel Gustave (13097203),Jandel Gustave,13097203,P,4000,PHI@SF 08/08/2019 09:45PM ET,SF,3.97
,,,,,,,,,,,RP,Williams Jerez (13097220),Williams Jerez,13097220,P,4000,PHI@SF 08/08/2019 09:45PM ET,SF,3.11
,,,,,,,,,,,RP,Yacksel Rios (13097228),Yacksel Rios,13097228,P,4000,PHI@SF 08/08/2019 09:45PM ET,PHI,-1
,,,,,,,,,,,RP,Trevor Gott (13097234),Trevor Gott,13097234,P,4000,PHI@SF 08/08/2019 09:45PM ET,SF,3.85
,,,,,,,,,,,RP,Drew Anderson (13097254),Drew Anderson,13097254,P,4000,PHI@SF 08/08/2019 09:45PM ET,PHI,4.15
,,,,,,,,,,,SP,Jose Lopez (13097264),Jose Lopez,13097264,P,4000,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,RP,Victor Arano (13097281),Victor Arano,13097281,P,4000,PHI@SF 08/08/2019 09:45PM ET,PHI,7.37
,,,,,,,,,,,RP,Edgar Garcia (13097297),Edgar Garcia,13097297,P,4000,PHI@SF 08/08/2019 09:45PM ET,PHI,2.31
,,,,,,,,,,,C,Drew Butera (13097113),Drew Butera,13097113,C,3900,COL@SD 08/08/2019 10:10PM ET,COL,3.29
,,,,,,,,,,,OF,Wil Myers (13097154),Wil Myers,13097154,OF,3900,COL@SD 08/08/2019 10:10PM ET,SD,5.64
,,,,,,,,,,,C,Rene Rivera (13097085),Rene Rivera,13097085,C,3900,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,C,Stephen Vogt (13097131),Stephen Vogt,13097131,C,3900,PHI@SF 08/08/2019 09:45PM ET,SF,4.95
,,,,,,,,,,,SS,Jean Segura (13097151),Jean Segura,13097151,SS,3900,PHI@SF 08/08/2019 09:45PM ET,PHI,7.91
,,,,,,,,,,,2B/3B,Greg Garcia (13097180),Greg Garcia,13097180,2B/3B,3800,COL@SD 08/08/2019 10:10PM ET,SD,4.61
,,,,,,,,,,,OF,Manuel Margot (13097240),Manuel Margot,13097240,OF,3800,COL@SD 08/08/2019 10:10PM ET,SD,5.32
,,,,,,,,,,,OF,Roman Quinn (13097218),Roman Quinn,13097218,OF,3800,PHI@SF 08/08/2019 09:45PM ET,PHI,4.51
,,,,,,,,,,,OF,Joey Rickard (13097235),Joey Rickard,13097235,OF,3800,PHI@SF 08/08/2019 09:45PM ET,SF,4.55
,,,,,,,,,,,OF,Mike Gerber (13097196),Mike Gerber,13097196,OF,3700,PHI@SF 08/08/2019 09:45PM ET,SF,1.75
,,,,,,,,,,,C,Chris Iannetta (13097105),Chris Iannetta,13097105,C,3600,COL@SD 08/08/2019 10:10PM ET,COL,5.31
,,,,,,,,,,,2B/SS,Brendan Rodgers (13097309),Brendan Rodgers,13097309,2B/SS,3600,COL@SD 08/08/2019 10:10PM ET,COL,3.8
,,,,,,,,,,,2B,Cesar Hernandez (13097164),Cesar Hernandez,13097164,2B,3600,PHI@SF 08/08/2019 09:45PM ET,PHI,6.77
,,,,,,,,,,,OF,Kevin Pillar (13097208),Kevin Pillar,13097208,OF,3600,PHI@SF 08/08/2019 09:45PM ET,SF,6.73
,,,,,,,,,,,OF,Austin Slater (13097232),Austin Slater,13097232,OF,3600,PHI@SF 08/08/2019 09:45PM ET,SF,6.36
,,,,,,,,,,,SS,Mauricio Dubon (13097272),Mauricio Dubon,13097272,SS,3600,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,OF,Adam Haseley (13097325),Adam Haseley,13097325,OF,3600,PHI@SF 08/08/2019 09:45PM ET,PHI,6.67
,,,,,,,,,,,1B,Yonder Alonso (13097139),Yonder Alonso,13097139,1B,3500,COL@SD 08/08/2019 10:10PM ET,COL,4.89
,,,,,,,,,,,OF,Josh Naylor (13097312),Josh Naylor,13097312,OF,3500,COL@SD 08/08/2019 10:10PM ET,SD,4.51
,,,,,,,,,,,3B/OF,Sean Rodriguez (13097093),Sean Rodriguez,13097093,3B/OF,3500,PHI@SF 08/08/2019 09:45PM ET,PHI,3.48
,,,,,,,,,,,1B,Brandon Belt (13097124),Brandon Belt,13097124,1B,3500,PHI@SF 08/08/2019 09:45PM ET,SF,6.64
,,,,,,,,,,,OF,Jose Pirela (13097150),Jose Pirela,13097150,OF,3500,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,OF,Shane Peterson (13097142),Shane Peterson,13097142,OF,3400,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,C,Buster Posey (13097138),Buster Posey,13097138,C,3400,PHI@SF 08/08/2019 09:45PM ET,SF,5.91
,,,,,,,,,,,3B,Maikel Franco (13097193),Maikel Franco,13097193,3B,3400,PHI@SF 08/08/2019 09:45PM ET,PHI,5.9
,,,,,,,,,,,2B/3B,Brad Miller (13097216),Brad Miller,13097216,2B/3B,3400,PHI@SF 08/08/2019 09:45PM ET,PHI,4.07
,,,,,,,,,,,OF,Travis Jankowski (13097205),Travis Jankowski,13097205,OF,3300,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,OF,Yonathan Daza (13097212),Yonathan Daza,13097212,OF,3300,COL@SD 08/08/2019 10:10PM ET,COL,1.62
,,,,,,,,,,,2B/OF,Garrett Hampson (13097274),Garrett Hampson,13097274,2B/OF,3300,COL@SD 08/08/2019 10:10PM ET,COL,4.34
,,,,,,,,,,,1B/OF,Matt Holliday (13097089),Matt Holliday,13097089,1B/OF,3200,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,2B/3B,Christian Villanueva (13097171),Christian Villanueva,13097171,2B/3B,3200,COL@SD 08/08/2019 10:10PM ET,SD,0
,,,,,,,,,,,C,Tony Wolters (13097185),Tony Wolters,13097185,C,3200,COL@SD 08/08/2019 10:10PM ET,COL,5.17
,,,,,,,,,,,C,Francisco Mejia (13097279),Francisco Mejia,13097279,C,3200,COL@SD 08/08/2019 10:10PM ET,SD,4.87
,,,,,,,,,,,3B,Trevor Plouffe (13097100),Trevor Plouffe,13097100,3B,3200,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,OF,Craig Gentry (13097123),Craig Gentry,13097123,OF,3200,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,OF,Odubel Herrera (13097170),Odubel Herrera,13097170,OF,3200,PHI@SF 08/08/2019 09:45PM ET,PHI,5.28
,,,,,,,,,,,2B/SS,Cristhian Adames (13097173),Cristhian Adames,13097173,2B/SS,3200,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,3B/SS,Mitch Walding (13097223),Mitch Walding,13097223,3B/SS,3200,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,C,Aramis Garcia (13097229),Aramis Garcia,13097229,C,3200,PHI@SF 08/08/2019 09:45PM ET,SF,6.17
,,,,,,,,,,,2B/3B,Miguel Gomez (13097238),Miguel Gomez,13097238,2B/3B,3200,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,SS,Abiatal Avelino (13097247),Abiatal Avelino,13097247,SS,3200,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,OF,Dylan Cozens (13097248),Dylan Cozens,13097248,OF,3200,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,1B/OF,Chris Shaw (13097256),Chris Shaw,13097256,1B/OF,3200,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,3B,Ryder Jones (13097268),Ryder Jones,13097268,3B,3200,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,OF,Lane Adams (13097156),Lane Adams,13097156,OF,3100,PHI@SF 08/08/2019 09:45PM ET,PHI,0
,,,,,,,,,,,OF,John Andreoli (13097204),John Andreoli,13097204,OF,3100,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,OF,Michael Reed (13097222),Michael Reed,13097222,OF,3100,PHI@SF 08/08/2019 09:45PM ET,SF,0
,,,,,,,,,,,2B,Ian Kinsler (13097092),Ian Kinsler,13097092,2B,3000,COL@SD 08/08/2019 10:10PM ET,SD,4.74
,,,,,,,,,,,OF,Michael Saunders (13097107),Michael Saunders,13097107,OF,3000,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,OF,Noel Cuevas (13097194),Noel Cuevas,13097194,OF,3000,COL@SD 08/08/2019 10:10PM ET,COL,0
,,,,,,,,,,,C,Luis Torrens (13097280),Luis Torrens,13097280,C,3000,COL@SD 08/08/2019 10:10PM ET,SD,0
