C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,C,Yanni Gourde (16326517),Yanni Gourde,16326517,C/UTIL,3800,DET@TB 02/05/2021 07:00PM ET,TB,7.62
,,,,,,,,,,LW,Adam Henrique (16326753),Adam Henrique,16326753,W/UTIL,3800,SJ@ANH 02/05/2021 10:00PM ET,ANH,5.95
,,,,,,,,,,RW,Joel Farabee (16326759),Joel Farabee,16326759,W/UTIL,3700,BOS@PHI 02/05/2021 07:00PM ET,PHI,10.43
,,,,,,,,,,D,MacKenzie Weegar (16327051),MacKenzie Weegar,16327051,D/UTIL,3700,NSH@FLA 02/05/2021 07:00PM ET,FLA,5.54
,,,,,,,,,,RW,Adrian Kempe (16326757),Adrian Kempe,16326757,W/UTIL,3700,LA@VGK 02/05/2021 10:00PM ET,LA,8.69
,,,,,,,,,,C,Charlie Coyle (16326519),Charlie Coyle,16326519,C/UTIL,3600,BOS@PHI 02/05/2021 07:00PM ET,BOS,5.36
,,,,,,,,,,RW,Blake Coleman (16326763),Blake Coleman,16326763,W/UTIL,3600,DET@TB 02/05/2021 07:00PM ET,TB,9.41
,,,,,,,,,,RW,Ryan Donato (16326761),Ryan Donato,16326761,W/UTIL,3600,SJ@ANH 02/05/2021 10:00PM ET,SJ,9.59
,,,,,,,,,,D,Jani Hakanpaa (16327053),Jani Hakanpaa,16327053,D/UTIL,3600,SJ@ANH 02/05/2021 10:00PM ET,ANH,5.41
,,,,,,,,,,C,Nolan Patrick (16326521),Nolan Patrick,16326521,C/UTIL,3500,BOS@PHI 02/05/2021 07:00PM ET,PHI,4.86
,,,,,,,,,,RW,Dustin Brown (16326765),Dustin Brown,16326765,W/UTIL,3500,LA@VGK 02/05/2021 10:00PM ET,LA,7.14
,,,,,,,,,,D,Cam Fowler (16327055),Cam Fowler,16327055,D/UTIL,3500,SJ@ANH 02/05/2021 10:00PM ET,ANH,5.2
,,,,,,,,,,D,Mattias Ekholm (16327057),Mattias Ekholm,16327057,D/UTIL,3400,NSH@FLA 02/05/2021 07:00PM ET,NSH,8.12
,,,,,,,,,,C,Cody Glass (16326523),Cody Glass,16326523,C/UTIL,3400,LA@VGK 02/05/2021 10:00PM ET,VGK,5.93
,,,,,,,,,,LW,Danton Heinen (16326767),Danton Heinen,16326767,W/UTIL,3400,SJ@ANH 02/05/2021 10:00PM ET,ANH,7.34
,,,,,,,,,,RW,Bobby Ryan (16326769),Bobby Ryan,16326769,W/UTIL,3300,DET@TB 02/05/2021 07:00PM ET,DET,8.78
,,,,,,,,,,D,Erik Cernak (16327059),Erik Cernak,16327059,D/UTIL,3300,DET@TB 02/05/2021 07:00PM ET,TB,5.6
,,,,,,,,,,C,Eetu Luostarinen (16326525),Eetu Luostarinen,16326525,C/UTIL,3300,NSH@FLA 02/05/2021 07:00PM ET,FLA,5.76
,,,,,,,,,,D,Mario Ferraro (16327061),Mario Ferraro,16327061,D/UTIL,3300,SJ@ANH 02/05/2021 10:00PM ET,SJ,7.15
,,,,,,,,,,D,Jeremy Lauzon (16327063),Jeremy Lauzon,16327063,D/UTIL,3200,BOS@PHI 02/05/2021 07:00PM ET,BOS,5.39
,,,,,,,,,,RW,Tyler Johnson (16326771),Tyler Johnson,16326771,W/UTIL,3200,DET@TB 02/05/2021 07:00PM ET,TB,7.19
,,,,,,,,,,C,Alex Wennberg (16326527),Alex Wennberg,16326527,C/UTIL,3200,NSH@FLA 02/05/2021 07:00PM ET,FLA,4.13
,,,,,,,,,,D,Brayden McNabb (16327065),Brayden McNabb,16327065,D/UTIL,3200,LA@VGK 02/05/2021 10:00PM ET,VGK,4.53
,,,,,,,,,,D,Erik Gustafsson (16327069),Erik Gustafsson,16327069,D/UTIL,3100,BOS@PHI 02/05/2021 07:00PM ET,PHI,6.06
,,,,,,,,,,D,Patrik Nemeth (16327067),Patrik Nemeth,16327067,D/UTIL,3100,DET@TB 02/05/2021 07:00PM ET,DET,4.7
,,,,,,,,,,RW,Luke Kunin (16326773),Luke Kunin,16326773,W/UTIL,3100,NSH@FLA 02/05/2021 07:00PM ET,NSH,5.21
,,,,,,,,,,C,Andrew Agozzino (16326529),Andrew Agozzino,16326529,C/UTIL,3100,SJ@ANH 02/05/2021 10:00PM ET,ANH,12.3
,,,,,,,,,,D,Brandon Carlo (16327073),Brandon Carlo,16327073,D/UTIL,3000,BOS@PHI 02/05/2021 07:00PM ET,BOS,6.12
,,,,,,,,,,C,Vladislav Namestnikov (16326531),Vladislav Namestnikov,16326531,C/UTIL,3000,DET@TB 02/05/2021 07:00PM ET,DET,4.82
,,,,,,,,,,LW,Andreas Athanasiou (16326775),Andreas Athanasiou,16326775,W/UTIL,3000,LA@VGK 02/05/2021 10:00PM ET,LA,7.13
,,,,,,,,,,D,Marc-Edouard Vlasic (16327071),Marc-Edouard Vlasic,16327071,D/UTIL,3000,SJ@ANH 02/05/2021 10:00PM ET,SJ,4.18
,,,,,,,,,,LW,Oskar Lindblom (16326777),Oskar Lindblom,16326777,W/UTIL,2900,BOS@PHI 02/05/2021 07:00PM ET,PHI,5.99
,,,,,,,,,,D,Travis Sanheim (16327075),Travis Sanheim,16327075,D/UTIL,2900,BOS@PHI 02/05/2021 07:00PM ET,PHI,5.27
,,,,,,,,,,LW,Barclay Goodrow (16326779),Barclay Goodrow,16326779,W/UTIL,2900,DET@TB 02/05/2021 07:00PM ET,TB,5
,,,,,,,,,,D,Anton Stralman (16327077),Anton Stralman,16327077,D/UTIL,2900,NSH@FLA 02/05/2021 07:00PM ET,FLA,4.66
,,,,,,,,,,D,Dante Fabbro (16327079),Dante Fabbro,16327079,D/UTIL,2900,NSH@FLA 02/05/2021 07:00PM ET,NSH,6.4
,,,,,,,,,,C,Blake Lizotte (16326533),Blake Lizotte,16326533,C/UTIL,2900,LA@VGK 02/05/2021 10:00PM ET,LA,4.49
,,,,,,,,,,C,Erik Haula (16326535),Erik Haula,16326535,C/UTIL,2800,NSH@FLA 02/05/2021 07:00PM ET,NSH,4
,,,,,,,,,,LW,Frank Vatrano (16326781),Frank Vatrano,16326781,W/UTIL,2800,NSH@FLA 02/05/2021 07:00PM ET,FLA,7.13
,,,,,,,,,,D,Radko Gudas (16327083),Radko Gudas,16327083,D/UTIL,2800,NSH@FLA 02/05/2021 07:00PM ET,FLA,4.59
,,,,,,,,,,D,Zach Whitecloud (16327081),Zach Whitecloud,16327081,D/UTIL,2800,LA@VGK 02/05/2021 10:00PM ET,VGK,4.59
,,,,,,,,,,D,Matt Roy (16327085),Matt Roy,16327085,D/UTIL,2800,LA@VGK 02/05/2021 10:00PM ET,LA,5.15
