Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
90,1638415120,koppafiel,0,117,C Auston Matthews UTIL Paul Stastny C Cody Glass W Max Pacioretty W William Nylander W Andreas Johnsson D Tyson Barrie D Quinn Hughes G Frederik Andersen,,Christopher Tanev,D,1.68%,8.2
93,1638428696,camby81,0,116.8,C Connor McDavid C Chris Tierney W Alex Ovechkin W David Perron W Connor Brown UTIL Tyson Barrie D Alexander Edler D Oscar Klefbom G Martin Jones,,Radko Gudas,D,1.68%,3
94,1638399686,Royalblue (8/10),0,116.6,C Alexander Kerfoot C Chris Tierney W Alex Ovechkin W Mitchell Marner W Brady Tkachuk UTIL Morgan Rielly D Tyson Barrie D Alexander Edler G Jacob Markstrom,,Carl Gunnarsson,D,1.47%,0
95,1638408904,wsmr317 (6/12),0,116.5,C Auston Matthews UTIL Ryan Nugent-Hopkins C Bo Horvat W Andreas Johnsson W J.T. Miller W Joakim Nygard D Tyson Barrie D Alexander Edler G Frederik Andersen,,Robby Fabbri,W,1.47%,0
96,1638426603,dawndanko,0,116.4,C Tomas Hertl C Ryan O'Reilly W Alex Ovechkin W Max Pacioretty W Brady Tkachuk UTIL David Perron D Alexander Edler D Tyler Lewington G Jordan Binnington,,Ben Harpur,D,1.47%,0
97,1638409353,bailey5599,0,116.1,C Auston Matthews C Bo Horvat W Max Pacioretty W Jakub Vrana W Richard Panik UTIL Morgan Rielly D Erik Karlsson D Alexander Edler G Jacob Markstrom,,Lars Eller,C,1.47%,17.3
98,1638398046,Lamoosh2332 (3/14),0,115.9,C Auston Matthews C Cody Glass W Mark Stone UTIL Brock Boeser W Max Pacioretty W Kasperi Kapanen D Morgan Rielly D Ethan Bear G Braden Holtby,,Lean Bergmann,C,1.47%,2.8
99,1638402204,nfalls41,0,115.7,C Auston Matthews C Cody Glass W Mark Stone W Brock Boeser W Max Pacioretty UTIL Brady Tkachuk D Morgan Rielly D Ethan Bear G Jacob Markstrom,,Connor Brown,W,1.47%,5
100,1638402403,goosecrosby,0,115.5,C Nicklas Backstrom C Bo Horvat W Alex Ovechkin W Tom Wilson UTIL J.T. Miller W Tanner Pearson D Alexander Edler D Cody Ceci G Marc-Andre Fleury,,Lukas Radil,UTIL,1.26%,1.5
100,1638427332,glassB,0,115.5,C Auston Matthews C William Karlsson W Mark Stone W Brock Boeser W Brandon Pirri D Marc-Edouard Vlasic D Kris Russell UTIL Deryk Engelland G Braden Holtby,,Artem Anisimov,C,1.26%,4.1
102,1638400007,kgdobby (1/14),0,115.3,C Auston Matthews C John Tavares UTIL Cody Glass W Brock Boeser W Max Pacioretty W Kasperi Kapanen D Alexander Edler D Ethan Bear G Frederik Andersen,,Tyler Ennis,UTIL,1.26%,4.1
102,1638400027,kgdobby (3/14),0,115.3,C Auston Matthews C John Tavares UTIL Cody Glass W Brock Boeser W Max Pacioretty W Kasperi Kapanen D Alexander Edler D Ethan Bear G Frederik Andersen,,Jordie Benn,D,1.26%,0
102,1638400036,kgdobby (5/14),0,115.3,C Auston Matthews C John Tavares UTIL Cody Glass W Brock Boeser W Max Pacioretty W Kasperi Kapanen D Alexander Edler D Ethan Bear G Frederik Andersen,,Dmitry Orlov,D,1.26%,14.5
102,1638400067,kgdobby (7/14),0,115.3,C Auston Matthews C John Tavares UTIL Cody Glass W Brock Boeser W Max Pacioretty W Kasperi Kapanen D Alexander Edler D Ethan Bear G Frederik Andersen,,Jimmy Schuldt,D,1.26%,0
102,1638416495,kgdobby (9/14),0,115.3,C Auston Matthews C John Tavares UTIL Cody Glass W Brock Boeser W Max Pacioretty W Kasperi Kapanen D Alexander Edler D Ethan Bear G Frederik Andersen,,Adam Larsson,D,1.26%,9.7
102,1638416500,kgdobby (11/14),0,115.3,C Auston Matthews C John Tavares UTIL Cody Glass W Brock Boeser W Max Pacioretty W Kasperi Kapanen D Alexander Edler D Ethan Bear G Frederik Andersen,,Jon Merrill,D,1.05%,7.3
102,1638416527,kgdobby (13/14),0,115.3,C Auston Matthews C John Tavares UTIL Cody Glass W Brock Boeser W Max Pacioretty W Kasperi Kapanen D Alexander Edler D Ethan Bear G Frederik Andersen,,Troy Stecher,D,1.05%,3
